file,address,status,coords
knowledge/nature/orel-skulptura-mashuk.md,"""вершина горы Машук, Пятигорск, Ставропольский край""",skip_has_coords,"[44.049440, 43.089117]   # уточнено 01.08.2026 (Alex, с места), заменяет прежнюю оценку"
knowledge/nature/orel-terzayuschy-zmeyu.md,"""Горячая гора, Пятигорск, Ставропольский край (точный адрес уточняется)""",skip_has_coords,"[44.036698, 43.083104]"
knowledge/nature/orlinye-skaly.md,"""гора Бештау, городской округ Лермонтов, Ставропольский край""",skip_has_coords,"[44.095195, 43.0337358]"
knowledge/nature/ozero-novopyatigorskoe.md,"""Пятигорск, микрорайон Новопятигорск, Ставропольский край""",skip_has_coords,"[44.033211, 43.006018]"
knowledge/nature/polyana-pesen.md,"""Склон горы Машук, район Места дуэли М. Ю. Лермонтова, Пятигорск, Ставропольский край""",skip_has_coords,"[44.056388, 43.076554]   # GPS с места, подтверждено Alex, 29.07.2026 (исключение из общего правила SCHEMA.md — точка без нормального почтового адреса, только GPS даёт навигацию)"
knowledge/nature/serovodorodnye-vanny.md,"""Пятигорск, район Пироговских ванн, Ставропольский край""",skip_has_coords,"[44.040259, 43.08507]"
knowledge/nature/terrenkury-mashuk.md,null,skip_bad_address,
knowledge/nature/vorota-solntsa.md,"""склон горы Машук, у Домика лесника, по пути к вершине, Пятигорск, Ставропольский край""",skip_has_coords,"[44.050232, 43.077566]   # GPS с места, подтверждено Alex, 29.07.2026 — то же исключение из SCHEMA.md, что и для polyana-pesen.md (нет обычного адреса)"
knowledge/parks/emanuelevsky-park.md,"""Пятигорск, Ставропольский край""",skip_has_coords,"[44.039775, 43.0706669]"
knowledge/parks/park-kirova.md,"""Пятигорск, Ставропольский край""",skip_has_coords,"[44.039775, 43.0706669]"
knowledge/parks/park-tsvetnik.md,"""парк Цветник, Пятигорск, Ставропольский край""",skip_has_coords,"[44.0367233, 43.08122]"
knowledge/religion/lazarevskaya-tserkov.md,"""ул. Пастухова, 1, Пятигорск""",skip_has_coords,"[44.0452437, 43.0751314]"
knowledge/religion/smolenskaya-tserkov.md,"""Пятигорск, микрорайон Центр, Ставропольский край (точный номер дома не зафиксирован)""",skip_has_coords,"[44.028513, 43.062098]"
knowledge/religion/sobor-arhangela-mihaila.md,"""ул. Козлова, 39А, Пятигорск""",skip_has_coords,"[44.0380007, 43.0520867]"
knowledge/religion/sobornaya-mechet.md,"""Сквозной пер., 2/6, Пятигорск""",skip_has_coords,"[44.039024, 43.0331134]"
knowledge/religion/spasskiy-kafedralny-sobor.md,"""Соборная ул., 1А, Пятигорск""",skip_has_coords,"[44.0370097, 43.0781314]"
knowledge/restaurants/1908-ordzhonikidze.md,"""ул. Орджоникидзе, 2, этаж 1, Пятигорск""",skip_has_coords,"[44.0539766, 43.0622076]"
knowledge/restaurants/1908.md,"""ул. Гоголя, 1, Пятигорск""",skip_has_coords,"[44.0375309, 43.0755058]"
knowledge/restaurants/akademiya-vkusa.md,"""ул. Карла Маркса, 22, Пятигорск, Ставропольский край""",skip_has_coords,"[44.0417554, 43.0787578]"
knowledge/restaurants/coffee-woops.md,"""Украинская ул., 61, Пятигорск, Ставропольский край""",skip_has_coords,"[44.0514272, 43.0400794]"
knowledge/restaurants/dialogi.md,"""Кооперативная ул., 36, Пятигорск, Ставропольский край""",skip_has_coords,"[44.0390829, 43.0097493]"
knowledge/restaurants/dofamin.md,"""Соборная ул., 4, этаж 1, Пятигорск, Ставропольский край""",skip_has_coords,"[44.0356575, 43.0787532]"
knowledge/restaurants/drinkberry.md,"""Ессентукская ул., 29Б, павильон 22, Пятигорск, Ставропольский край""",skip_has_coords,"[44.0429901, 43.0352221]"
knowledge/restaurants/el-mashuk.md,"""Гора Машук, терренкур (дорога от вершины вниз к Воротам Солнца), Пятигорск, Ставропольский край""",skip_has_coords,"[44.056515, 43.091642]   # уточнено 01.08.2026 по официальной странице Яндекс.Карт заведения (id 125331065277), заменяет ошибочно скопированные координаты вершины"
knowledge/restaurants/elissa-stolovaya.md,"""г. Пятигорск, Кисловодское шоссе, 48""",ok,"[44.0606674, 42.9509813]"
knowledge/restaurants/etno-kofe.md,"""Нижний бульвар, Пятигорск, Ставропольский край (адрес требует уточнения на месте — см. ниже)""",skip_has_coords,"[44.035729, 43.062563]"
knowledge/restaurants/gukasova.md,"""пр. Кирова, 23, 1 этаж, Пятигорск, 357501""",skip_has_coords,"[44.0366143, 43.0803228]"
knowledge/restaurants/gurmetika.md,"""ул. Адмиральского, 37А, Пятигорск, Ставропольский край""",skip_has_coords,"[44.0530597, 43.0402254]"
knowledge/restaurants/hmelnoy-restoran.md,"""ул. Розы Люксембург, 72А, Пятигорск, Ставропольский край, 357500""",skip_has_coords,"[44.0465585, 43.0412831]"
knowledge/restaurants/hmelnoy-voprosy-personalu.md,,skip_bad_address,
knowledge/restaurants/istoriya.md,"""у места дуэли М.Ю. Лермонтова, Пятигорск, Ставропольский край (отдельного адреса/улицы нет — летняя площадка у достопримечательности, тот же тип исключения, что и `nature/vorota-solntsa.md`)""",skip_has_coords,"[44.059018, 43.076572]   # уточнено 01.08.2026 (Alex, с места); ~50 м от места дуэли Лермонтова (44.059189, 43.077024)"
knowledge/restaurants/kak-doma.md,"""ул. Мира, 16, Пятигорск, Ставропольский край""",skip_has_coords,"[44.0417816, 43.0700814]"
knowledge/restaurants/khachapuri-i-karla-marksa.md,"""ул. Карла Маркса, 4, Пятигорск, Ставропольский край""",skip_has_coords,"[44.0378913, 43.0797662]"
knowledge/restaurants/khachapuri-i.md,"""бул. Гагарина, 31, Пятигорск""",skip_has_coords,"[44.0438181, 43.0976863]"
knowledge/restaurants/kofelavka.md,"""адрес расходится между картами — см. ниже, Пятигорск, Ставропольский край""",skip_bad_address,
knowledge/restaurants/kuhnya-moey-mamy.md,"""ул. 295-й Стрелковой Дивизии, 13, корп. 1, Пятигорск, Ставропольский край""",skip_has_coords,"[44.0615812, 43.0652989]"
knowledge/restaurants/lukos.md,"""бул. Гагарина, 19, Пятигорск, Ставропольский край""",skip_has_coords,"[44.0424246, 43.0943814]"
knowledge/restaurants/mister-sloykin.md,"""сеть по городу — известные адреса ниже, Пятигорск, Ставропольский край""",fail_not_found,
knowledge/restaurants/moya-stolovaya-oktyabrskaya.md,"""Октябрьская ул., 21, Пятигорск, Ставропольский край""",skip_has_coords,"[44.0370071, 43.069875]"
knowledge/restaurants/moya-stolovaya-privokzalny.md,"""Привокзальный пер., 1В, Пятигорск, Ставропольский край""",skip_has_coords,"[44.0352169, 43.0539376]"
knowledge/restaurants/obzhorka.md,"""ул. Леваневского, 2, Пятигорск, Ставропольский край""",skip_has_coords,"[44.0428397, 43.0677679]"
knowledge/restaurants/okta-bryu.md,"""просп. 40 лет Октября, 58А, ТЦ «Евросити», Пятигорск, Ставропольский край""",skip_has_coords,"[44.0405691, 43.0638286]"
knowledge/restaurants/paper-cup-coffee.md,"""просп. Кирова, 37В, Пятигорск, Ставропольский край""",skip_has_coords,"[44.0364512, 43.0789604]"
knowledge/restaurants/pravilny-kofe.md,"""просп. Кирова, 23, этаж 2 (парк «Цветник»), Пятигорск, Ставропольский край""",skip_has_coords,"[44.0366143, 43.0803228]"
knowledge/restaurants/prokofe.md,"""ул. Пестова, 5, корп. 3, Пятигорск, Ставропольский край""",skip_has_coords,"[44.0291445, 43.0705175]"
knowledge/restaurants/proval.md,"""бул. Гагарина, 30, Пятигорск""",skip_has_coords,"[44.0432669, 43.0970155]"
knowledge/restaurants/provence.md,"""Кузнечная ул., 8А, Пятигорск, Ставропольский край""",skip_has_coords,"[44.0464105, 43.0689645]"
knowledge/restaurants/pyatigorskoe-morozhenoe-kafe.md,"""ул. Козлова, 39Л, Пятигорск, Ставропольский край""",skip_has_coords,"[44.03844, 43.0407343]"
knowledge/restaurants/robust-pervaya-bulvarnaya.md,"""Первая Бульварная ул., 17 (гостиница «Бештау»), Пятигорск, Ставропольский край""",skip_has_coords,"[44.0530476, 43.0640029]"
knowledge/restaurants/rodman-dzerzhinskogo.md,"""ул. Дзержинского, 43, Пятигорск, Ставропольский край""",skip_has_coords,"[44.0383318, 43.0745872]"
knowledge/restaurants/sfera-vkusa.md,"""Кисловодское шоссе, 48, Пятигорск, Ставропольский край""",skip_has_coords,"[44.0606674, 42.9509813]"
